row,column,celltype
127.0,679.0,4.0
127.0,608.0,4.0
137.0,1577.0,4.0
129.0,1917.0,4.0
142.0,2013.0,4.0
129.0,625.0,4.0
132.0,1708.0,4.0
146.0,1994.0,4.0
133.0,1478.0,4.0
135.0,959.0,3.0
140.0,1510.0,4.0
146.0,550.0,4.0
142.0,642.0,4.0
143.0,973.0,2.0
145.0,1336.0,4.0
133.0,367.0,4.0
146.0,1591.0,3.0
135.0,1610.0,9.0
141.0,870.0,4.0
152.0,1361.0,4.0
150.0,666.0,4.0
138.0,1353.0,4.0
137.0,84.0,11.0
145.0,383.0,4.0
142.0,798.0,4.0
142.0,993.0,3.0
146.0,1431.0,4.0
140.0,1867.0,4.0
141.0,1169.0,12.0
141.0,605.0,4.0
139.0,1792.0,4.0
147.0,490.0,4.0
150.0,1676.0,4.0
146.0,172.0,7.0
142.0,396.0,4.0
144.0,839.0,4.0
144.0,1164.0,12.0
148.0,1176.0,12.0
147.0,815.0,4.0
146.0,351.0,4.0
147.0,620.0,4.0
147.0,1778.0,4.0
153.0,682.0,4.0
155.0,1487.0,4.0
157.0,1724.0,4.0
163.0,603.0,4.0
154.0,774.0,4.0
151.0,1381.0,4.0
151.0,1320.0,4.0
161.0,1446.0,4.0
156.0,1700.0,4.0
157.0,432.0,4.0
156.0,704.0,4.0
153.0,1747.0,4.0
148.0,735.0,4.0
151.0,187.0,16.0
163.0,509.0,4.0
162.0,105.0,11.0
150.0,367.0,4.0
165.0,1860.0,4.0
158.0,1910.0,4.0
162.0,226.0,4.0
159.0,406.0,11.0
161.0,1889.0,4.0
168.0,1468.0,4.0
156.0,1766.0,4.0
161.0,1787.0,4.0
158.0,828.0,4.0
170.0,1204.0,2.0
163.0,624.0,4.0
174.0,794.0,4.0
162.0,348.0,4.0
171.0,840.0,4.0
169.0,1503.0,4.0
169.0,451.0,4.0
169.0,1651.0,9.0
169.0,1816.0,4.0
169.0,378.0,4.0
170.0,482.0,4.0
168.0,688.0,4.0
171.0,814.0,4.0
168.0,1799.0,4.0
179.0,200.0,4.0
182.0,276.0,3.0
166.0,1754.0,4.0
169.0,1774.0,4.0
178.0,2002.0,4.0
173.0,1518.0,4.0
179.0,124.0,4.0
172.0,1675.0,4.0
173.0,1421.0,4.0
178.0,715.0,4.0
184.0,751.0,12.0
180.0,1740.0,4.0
174.0,1761.0,4.0
183.0,1691.0,4.0
185.0,2015.0,4.0
181.0,660.0,4.0
178.0,1303.0,15.0
181.0,674.0,4.0
183.0,1364.0,4.0
188.0,564.0,4.0
180.0,1907.0,4.0
180.0,421.0,11.0
187.0,645.0,4.0
175.0,1888.0,4.0
178.0,341.0,4.0
181.0,441.0,4.0
183.0,828.0,4.0
188.0,1560.0,4.0
193.0,1830.0,4.0
184.0,691.0,4.0
187.0,1404.0,4.0
181.0,937.0,3.0
204.0,1803.0,4.0
187.0,222.0,4.0
185.0,1230.0,12.0
188.0,1494.0,4.0
193.0,1537.0,4.0
187.0,1628.0,12.0
196.0,1781.0,4.0
186.0,1926.0,12.0
190.0,776.0,4.0
187.0,1433.0,4.0
193.0,1714.0,4.0
188.0,368.0,4.0
194.0,535.0,4.0
188.0,1448.0,4.0
182.0,398.0,4.0
197.0,1884.0,4.0
198.0,1332.0,4.0
188.0,1762.0,4.0
188.0,454.0,4.0
189.0,1052.0,15.0
192.0,1964.0,11.0
196.0,1281.0,4.0
